product_id,h_code
IFF-QB00039,H361
IFF-QB00001,H227
IFF-QB00001,H315
IFF-QB00001,H317
IFF-QB00001,H319
IFF-QB00001,H351
IFF-QB00001,H361
BSF-QB00001,H318
BSF-QB00001,H315
BSF-QB00001,H360
BSF-QB00001,H411
BSF-QB00001,H400
IFF-QB00182,H227
IFF-QB00182,H304
IFF-QB00182,H315
IFF-QB00182,H317
IFF-QB00182,H361
IFF-QB00236,H227
IFF-QB00236,H304
IFF-QB00236,H315
IFF-QB00236,H317
IFF-QB00236,H361
IFF-QB00183,H227
IFF-QB00183,H315
IFF-QB00183,H317
IFF-QB00183,H319
IFF-QB00183,H361
IFF-QB00183,H373
IFF-QB00230,H227
IFF-QB00230,H303
IFF-QB00230,H316
IFF-QB00230,H317
IFF-QB00230,H319
IFF-QB00230,H350
IFF-QB00230,H411
LUB-QB00008,H340
LUB-QB00008,H350
LUB-QB00013,H340
LUB-QB00013,H350
LUB-QB00017,H316
LUB-QB00017,H412
LUB-QB00020,H319
LUB-QB00020,H402
LUB-QB00024,H319
LUB-QB00024,H402
LUB-QB00025,H319
LUB-QB00025,H402
IFF-QB00232,H315
IFF-QB00232,H317
IFF-QB00232,H319
IFF-QB00232,H361
IFF-QB00040,H227
IFF-QB00040,H315
IFF-QB00040,H317
IFF-QB00040,H351
IFF-QB00040,H361
IFF-QB00078,H317
IFF-QB00041,H227
IFF-QB00041,H315
IFF-QB00041,H317
IFF-QB00041,H361
IFF-QB00041,H373
ASH-QB00072,H410
VAR-QB00037,H320
VAR-QB00037,H401
IFF-QB00079,H227
IFF-QB00079,H315
IFF-QB00079,H317
IFF-QB00079,H319
IFF-QB00079,H351
IFF-QB00131,H317
IFF-QB00131,H361
IFF-QB00132,H227
IFF-QB00132,H315
IFF-QB00132,H317
IFF-QB00132,H318
IFF-QB00132,H351
IFF-QB00132,H361
IFF-QB00132,H371
IFF-QB00080,H315
IFF-QB00080,H317
IFF-QB00080,H319
IFF-QB00080,H351
IFF-QB00080,H361
LUB-QB00027,H315
LUB-QB00027,H319
LUB-QB00027,H402
IFF-QB00081,H226
IFF-QB00081,H317
IFF-QB00081,H319
IFF-QB00081,H361
IFF-QB00002,H317
IFF-QB00233,H226
IFF-QB00233,H304
IFF-QB00233,H315
IFF-QB00233,H317
IFF-QB00083,H317
IFF-QB00083,H361
IFF-QB00184,H227
IFF-QB00184,H315
IFF-QB00184,H317
IFF-QB00184,H319
IFF-QB00184,H361
VAR-QB00038,H227
VAR-QB00039,H227
IFF-QB00234,H227
IFF-QB00234,H304
IFF-QB00234,H315
IFF-QB00234,H316
IFF-QB00234,H317
IFF-QB00234,H319
IFF-QB00234,H411
IFF-QB00003,H227
IFF-QB00003,H315
IFF-QB00003,H317
IFF-QB00003,H361
VAR-QB00040,H302
VAR-QB00040,H304
VAR-QB00040,H315
VAR-QB00040,H317
VAR-QB00040,H318
VAR-QB00040,H411
PRD-QB00005,H302
PRD-QB00005,H304
PRD-QB00005,H315
PRD-QB00005,H317
PRD-QB00005,H318
PRD-QB00005,H411
IFF-QB00004,H304
IFF-QB00004,H315
IFF-QB00004,H317
IFF-QB00004,H318
IFF-QB00004,H361
IFF-QB00005,H226
IFF-QB00005,H304
IFF-QB00005,H315
IFF-QB00005,H317
IFF-QB00005,H318
IFF-QB00005,H361
IFF-QB00133,H315
IFF-QB00133,H317
IFF-QB00133,H319
IFF-QB00085,H315
IFF-QB00085,H317
IFF-QB00085,H361
IFF-QB00205,H317
IFF-QB00134,H227
IFF-QB00134,H315
IFF-QB00134,H317
IFF-QB00134,H319
IFF-QB00086,H315
IFF-QB00086,H317
IFF-QB00086,H361
IFF-QB00042,H227
IFF-QB00042,H315
IFF-QB00042,H317
IFF-QB00042,H319
IFF-QB00087,H317
IFF-QB00087,H361
IFF-QB00135,H317
IFF-QB00043,H227
IFF-QB00043,H315
IFF-QB00043,H317
IFF-QB00043,H361
VAR-QB00042,H319
VAR-QB00044,H319
VAR-QB00047,H272
VAR-QB00047,H300
VAR-QB00047,H332
VAR-QB00047,H312
VAR-QB00047,H314
VAR-QB00047,H318
VAR-QB00047,H334
VAR-QB00047,H340
VAR-QB00047,H350
VAR-QB00047,H360
VAR-QB00047,H372
VAR-QB00048,H335
VAR-QB00048,H313
VAR-QB00048,H401
VAR-QB00049,H315
VAR-QB00049,H319
VAR-QB00049,H335
VAR-QB00050,H290
VAR-QB00050,H314
VAR-QB00050,H335
VAR-QB00050,H313
VAR-QB00050,H401
VAR-QB00050,H411
VAR-QB00054,H302
VAR-QB00054,H318
VAR-QB00054,H335
VAR-QB00054,H313
VAR-QB00054,H315
VAR-QB00056,H302
VAR-QB00056,H318
VAR-QB00056,H335
VAR-QB00056,H313
VAR-QB00056,H315
VAR-QB00057,H302
VAR-QB00057,H318
VAR-QB00057,H335
VAR-QB00057,H313
VAR-QB00057,H315
VAR-QB00058,H302
VAR-QB00058,H318
VAR-QB00058,H335
VAR-QB00058,H313
VAR-QB00058,H315
VAR-QB00059,H315
VAR-QB00059,H318
VAR-QB00059,H319
VAR-QB00059,H335
VAR-QB00061,H303
VAR-QB00061,H320
VAR-QB00061,H335
VAR-QB00064,H303
VAR-QB00064,H320
VAR-QB00064,H335
VAR-QB00065,H320
VAR-QB00065,H335
VAR-QB00193,H318
VAR-QB00066,H351
VAR-QB00067,H303
VAR-QB00067,H320
VAR-QB00067,H335
IFF-QB00136,H227
IFF-QB00136,H315
IFF-QB00136,H317
ASH-QB00064,H319
