Codigo interno ,Chemical Name
IFF-QB00151,KIWI FRESH 625
IFF-QB00165,SER 1057 UVA MORADA
IFF-QB00158,QUIM 1300(PASION FRUIT)
IFF-QB00164,SER 1013 (SHAMPOO PANTENE FLORAL FRUTAL)
IFF-QB00122,1181-D (MENTA)
IFF-QB00122,ABRILLANTADOR OPTICO(LIQUIDO)
IFF-QB00123,ALMOND 339
IFF-QB00130,BOSS 3152
,FLORAL 386 
,FLORIENTAL M969 
,BOSS 3157 (POT) 
,CEREZA 2080GEL
IFF-QB00142,FASHION 180
,EXTREME 188 
IFF-QB00152,MANGIFF 188
,BOSS 3148 EP
,LOLO 996-L (POLO AROMATIZANTE)
IFF-QB00166,SER 1098 ORQUIDEA JAZMIN
IFF-QB00168,SER 1104 AGUACATE
IFF-QB00126,AVEIA PLUS PONS CR
IFF-QB00128,BLAZING 185
IFF-QB00160,RAINY WASH 530
IFF-QB00043,COCONUT DELICE 733
IFF-QB00323,CESCO LV40 
IFF-QB00208,FLOWER CLEAN 384
IFF-QB00139,DELIRIOUS JABOTICABA 335
IFF-QB00129,BLUE BREEZE 929
IFF-QB00143,FLORAL BOUQUET 981
IFF-QB00198,BLUE MICRO MEMORIES 320 (AZUL)
IFF-QB00200,HAPPY MICRO SUNSHINE 312 (AZUL)
IFF-QB00199,ELEGANT MICRO SOFTNESS 957 ( AMARILLO)
IFF-QB00118,TUTTI 001
,HERBAL P 853 
IFF-QB00080,CHAN 001-C
,MULBERRY 773
IFF-QB00236,CK ONE GL 8020 M
IFF-QB00269,SER 1050 ENSUENO
IFF-QB00286,VCA MOMENTOS 2321
IFF-QB00284,VCA FIESTA 4325 
IFF-QB00260,PETALOS DE ROSA
IFF-QB00238,PALOMA 5052 CR
IFF-QB00228,BOSQUE DE BAMBU 
IFF-QB00261,QUIM BLUE 629 
IFF-QB00282,TROPIC FRUIT M 957
IFF-QB00256,MINT MINT M BRM11
IFF-QB00229,BOSS 1363 FQ(TANGO)
IFF-QB00240,EXPELL FRESH M 820
IFF-QB00234,CITRIC FRESH 
IFF-QB00262,QUIM HIDRA 759 
IFF-QB00273,SOFT LILY
,LAVANDA FABULADA M 
IFF-QB00276,SUAVIAZUL M 75 
IFF-QB00272,SOFT BLUE M 68 
IFF-QB00246,GREEN APPLE 1082 
,COUNTRY SOFT D 937 INOVA
IFF-QB00257,NEW MAXI COLOR D7754
IFF-QB00233,CHICLE 001D 
IFF-QB00288,WAIKIKI 204 
IFF-QB00264,REVIVAL 006 A NATTURA 
IFF-QB00223,BERRY PUNCH 867 FV 
IFF-QB00250,LAVENDER FRESH
IFF-QB00227,BLUE MOON
IFF-QB00268,SEA BREEZE
IFF-QB00259,FLORALIS 830 
IFF-QB00249,JUNGLE FRESH 
IFF-QB00230,CANELLE
IFF-QB00287,VIOLET FLOWER
,BOSS 3148 AMENI 
IFF-QB00251,LAVENDER MISTICA 
IFF-QB00244,FRESH BREEZE  
KAO-QB00001,ASFIER 100 
KAO-QB00002,ASFIER 121
,KAOAMIN 14 
,KAOAMIN 16 
,KAOAMIN KW 
,DANOX AP 
KAO-QB00004,ASFIER 211 (GRANEL PIPA) 
KAO-QB00005,ASFIER 211 (TAMBOR)
KAO-QB00069,QUARTAMIN D86P
,TETRANYL FAV
KAO-QB00061,POIZ 88
KAO-QB00072,TETRANYL AT7590E
KAO-QB00054,KAOSOFT AGL85
KAO-QB00057,KAO SOFCARE GP1
KAO-QB00062,QUARTAMIN 60
,QUARTAMIN S60
,BETADET HRG 
KAO-QB00025,BETADET HR2
KAO-QB00027,CETILICO KALKOL 6098
KAO-QB00018,ALCOHOL ESTEARILICO KALKOL 8098 
KAO-QB00021,AMIDET N  
KAO-QB00075,TETRANYL BC- 50T
KAO-QB00078,TETRANYL BC-80E
KAO-QB00030,DANOX BT60 
KAO-QB00066,QUARTAMIN B18 
KAO-QB00028,CORROMIN E-4
KAO-QB00022,AMIET 502 TAMBOR 175 KGS
KAO-QB00049,FORMOX DMCD (E)
,ACIDO GRASO TO (ACIDO OLEICO QK)
KAO-QB00042,EMAL 10-N (LAURIL SULFATO DE SODIO) 
KAO-QB00044,EMAL 227 (LESS QKA)
KAO-QB00019,ALFANOX 46 
KAO-QB00029,DANOX 511-B 
KAO-QB00043,EMAL 10G
KAO-QB00060,POIZ 535 
,DIAMIN OE 
,ACEITE DE PINO Y40
VAR-QB00005,ACEITE DE PINO Y55
VAR-QB00006,ACEITE MINERAL QB 85
VAR-QB00159,ACEITE DE PINO V55 NO UTILIZAR
VAR-QB00015,ALCOHOL E. DESTUFADO 
VAR-QB00018,ALCOHOL LAURICO 9 MOLES
VAR-QB00105,IPA 
VAR-QB00008,ACIDO CITRICO
VAR-QB00009,ACIDO ESTEARICO AE-5001 TRIPLE PRENSADO (COSMETICO)
VAR-QB00011,ADBS QB
VAR-QB00069,DBSS
VAR-QB00111,LSA QH
VAR-QB00122,NF-600
VAR-QB00030,BETAINA QB
VAR-QB00119,NF1000 QB
VAR-QB00082,ESTANATO DE SODIO 
VAR-QB00099,GLICEPOL 160
VAR-QB00023,ANTIESPUMANTE
VAR-QB00032,C.M.C.
VAR-QB00076,EDTA
VAR-QB00118,NACARANTE QB
VAR-QB00140,TEA USO INDUSTRIAL (TRIETANOLAMINA 85%)
VAR-QB00102,GLUCOPON 425 
VAR-QB00037,CETEARETH-20
VAR-QB00071,DEAC. SY
VAR-QB00070,DEAC. DE COCO
VAR-QB00151,FORMOL
VAR-QB00093,FONGRABAC MG (CONSERVA GEL SHAMPOO)
VAR-QB00144,TRICLOSAN
,CLORURO DE BENZALCONIO AL 80% 
,ESPESANTE LIQUIDO AL3645
VAR-QB00153,ESPESANTE HIDROSOLUBLE 8000 
VAR-QB00044,COLOR AMARILLO ACIDO 73 (LIMPIADORES) FOSFORECENTE
VAR-QB00052,COLOR AZUL TURQUESA DIRECTO 86 (LIMPIADORES)
VAR-QB00051,COLOR AZUL BASICO
VAR-QB00057,COLOR ROJO 114 
VAR-QB00063,"COLOR VERDE 10 PAMACID (SUAVIZANTE, SHAMPOO) "
VAR-QB00067,COLOR VIOLETA REACTIVO XXV-VL(LIMPIADORES)
VAR-QB00048,COLOR AMARILLO METANILO 36 (SUAVIZANTE)
VAR-QB00056,"COLOR RODAMINA BASICA ( JABON LIQ,LIMPIADORES)"
VAR-QB00043,COLOR AMARILLO 5 P/GEL
VAR-QB00042,COLOR AMARILLO .6 P/GEL
VAR-QB00064,COLOR VERDE LIMON GEL (ESMERALDA)
VAR-QB00065,COLOR VERDE PINO (LIMPIADOR DE PINO)
