product_id,pictogram_id
IFF-QB00004,GHS08
IFF-QB00005,GHS07
IFF-QB00005,GHS05
IFF-QB00005,GHS08
IFF-QB00005,GHS02
IFF-QB00133,GHS07
IFF-QB00085,GHS07
IFF-QB00085,GHS08
IFF-QB00205,GHS07
IFF-QB00134,GHS07
IFF-QB00086,GHS07
IFF-QB00086,GHS08
IFF-QB00042,GHS07
IFF-QB00087,GHS07
IFF-QB00087,GHS08
IFF-QB00135,GHS07
IFF-QB00043,GHS07
IFF-QB00043,GHS08
VAR-QB00042,GHS07
VAR-QB00044,GHS07
VAR-QB00047,GHS07
VAR-QB00047,GHS05
VAR-QB00047,GHS08
VAR-QB00048,GHS05
VAR-QB00048,GHS02
VAR-QB00048,GHS09
VAR-QB00049,GHS07
VAR-QB00049,GHS08
VAR-QB00050,GHS05
VAR-QB00050,GHS09
VAR-QB00054,GHS07
VAR-QB00054,GHS09
VAR-QB00056,GHS07
VAR-QB00056,GHS09
VAR-QB00057,GHS07
VAR-QB00057,GHS09
VAR-QB00058,GHS07
VAR-QB00058,GHS09
VAR-QB00059,GHS07
VAR-QB00061,GHS07
VAR-QB00064,GHS07
VAR-QB00065,GHS07
VAR-QB00193,GHS05
VAR-QB00066,GHS08
VAR-QB00067,GHS07
IFF-QB00136,GHS07
ASH-QB00064,GHS07
KAO-QB00028,GHS07
KAO-QB00028,GHS05
KAO-QB00028,GHS08
KAO-QB00028,GHS02
KAO-QB00028,GHS09
ASH-QB00010,GHS07
IFF-QB00289,GHS07
IFF-QB00289,GHS08
IFF-QB00206,GHS07
IFF-QB00206,GHS08
IFF-QB00137,GHS07
IFF-QB00137,GHS08
VAR-QB00172,GHS02
IFF-QB00175,GHS07
IFF-QB00175,GHS08
KAO-QB00029,GHS07
KAO-QB00029,GHS05
KAO-QB00029,GHS08
KAO-QB00029,GHS09
KAO-QB00097,GHS05
KAO-QB00030,GHS07
KAO-QB00030,GHS05
KAO-QB00030,GHS02
KAO-QB00030,GHS09
KAO-QB00031,GHS07
KAO-QB00031,GHS09
KAO-QB00034,GHS07
KAO-QB00011,GHS05
KAO-QB00011,GHS09
VAR-QB00069,GHS07
VAR-QB00070,GHS07
VAR-QB00071,GHS07
IFF-QB00138,GHS07
IFF-QB00139,GHS07
IFF-QB00139,GHS08
VAR-QB00073,GHS07
VAR-QB00073,GHS05
KAO-QB00037,GHS07
KAO-QB00037,GHS05
KAO-QB00104,GHS05
KAO-QB00104,GHS08
KAO-QB00104,GHS06
KAO-QB00103,GHS07
KAO-QB00103,GHS05
KAO-QB00103,GHS08
KAO-QB00039,GHS07
KAO-QB00039,GHS05
KAO-QB00039,GHS08
KAO-QB00039,GHS09
VAR-QB00075,GHS07
VAR-QB00075,GHS05
VAR-QB00075,GHS08
VAR-QB00075,GHS09
IFF-QB00088,GHS07
IFF-QB00140,GHS07
IFF-QB00140,GHS08
IFF-QB00044,GHS07
IFF-QB00044,GHS08
IFF-QB00045,GHS07
IFF-QB00007,GHS07
IFF-QB00008,GHS07
IFF-QB00207,GHS07
IFF-QB00207,GHS08
IFF-QB00009,GHS07
IFF-QB00009,GHS05
IFF-QB00009,GHS08
IFF-QB00009,GHS02
IFF-QB00290,GHS07
IFF-QB00239,GHS07
IFF-QB00239,GHS05
IFF-QB00239,GHS08
IFF-QB00046,GHS07
IFF-QB00046,GHS08
VAR-QB00076,GHS07
VAR-QB00076,GHS05
VAR-QB00076,GHS08
ASH-QB00058,GHS07
ASH-QB00058,GHS05
IFF-QB00141,GHS07
IFF-QB00047,GHS07
IFF-QB00047,GHS08
IFF-QB00199,GHS07
KAO-QB00041,GHS07
KAO-QB00041,GHS05
KAO-QB00043,GHS07
KAO-QB00043,GHS05
KAO-QB00042,GHS07
KAO-QB00042,GHS05
KAO-QB00044,GHS05
KAO-QB00046,GHS07
KAO-QB00046,GHS05
VAR-QB00077,GHS07
KAO-QB00085,GHS05
VAR-QB00078,GHS07
ASH-QB00014,GHS07
VAR-QB00082,GHS07
VAR-QB00082,GHS05
IFF-QB00089,GHS07
